Estrategia,Tiempo (s),Accuracy,Precision,Recall,F1-Score
Random Search,7.437439203262329,0.6602687140115163,0.5173745173745173,0.7204301075268817,0.6022471910112359
Grid Search,13.37560510635376,0.6602687140115163,0.5203619909502263,0.6182795698924731,0.5651105651105651
Optuna (Bayesian),23.27006506919861,0.6564299424184261,0.5172413793103449,0.5645161290322581,0.5398457583547558
