method,accuracy_mean,accuracy_std,f1_mean,f1_std,precision_mean,precision_std,recall_mean,recall_std,threshold
Baseline XGBoost,0.6306976744186047,0.01880128644782117,0.36590409256071904,0.028998140300765078,0.5115397193494414,0.029206807752719253,0.2885257270924715,0.04068103421040056,0.5
XGBoost + Optuna,0.6423255813953489,0.011143394000661338,0.47323644191895575,0.06508523683180781,0.5249391422221823,0.028379497517647314,0.44671119062618114,0.12363982925106577,0.5
XGBoost + Optuna + Threshold,0.5758139534883722,0.03104803584796026,0.5848336118668562,0.02843686796831278,0.46187004409550453,0.030915935047357998,0.8062585027384452,0.08127241555507296,0.1
