method,f1_mean,f1_std,precision_mean,precision_std,recall_mean,recall_std,threshold
Baseline,0.27654701529323866,0.07067012519044986,0.5178527256851613,0.06918150576216373,0.20816826047897785,0.10152313401543127,0.5
Grid Search,0.265527014077785,0.07752607486252272,0.5148809490842755,0.08267279553939741,0.1996888230838677,0.10691251662277984,0.5
Random Search,0.3340147547591875,0.055643645755250326,0.5385443144679449,0.07817873830978468,0.25420189472776183,0.07241729915210125,0.5
Optuna,0.3458157336357272,0.05174044396825901,0.5318125309270652,0.06296833064269793,0.2680797811187902,0.07286380071480038,0.5
Optuna + Threshold,0.60736759163336,0.045683618626089564,0.4497530420180432,0.04937598098507582,0.945651759666393,0.0335754742701646,0.26161616161616164
